pdb_id,delta_G,complex_count,mean_nearest_opposite_A,mean_nonpolar_to_nonpolar_cross_A,mean_nonpolar_to_charged_cross_A
3bn3,-26.82,376,10.014313,8.030497,8.688222
2vog,-38.11,167,11.569799,7.217163,9.705125
2vlq,-60.74,218,8.798737,9.065653,8.555155
3bk3,-43.71,342,7.370297,6.824708,12.846006
2p43,-43.6,244,11.101183,8.215879,10.243269
2p42,-43.6,484,10.963923,8.502973,10.184138
3d5s,-43.29,724,8.320230,8.026248,8.165141
3blh,-37.23,546,10.366537,7.480810,8.568131
3ech,-37.23,288,7.702543,7.291403,9.376228
3d7u,-25.82,1020,10.032331,10.598576,8.056400
3cx8,-36.92,512,12.469551,8.196528,8.957551
2k42,-42.56,108,11.125731,6.264877,8.528500
2vsm,-42.56,550,11.089424,8.704129,10.230269
2k2u,-36.78,150,9.113216,6.819273,8.984614
2efh,-42.49,796,13.796332,7.776933,9.578177
3c66,-31.52,1105,10.914738,6.236831,8.954069
3bp8,-47.85,911,9.787003,6.913683,9.518980
3dvm,-47.74,162,7.970229,7.246774,9.432490
3c4p,-47.7,430,9.249077,7.630023,7.988815
3cqx,-30.52,918,9.629890,7.466881,8.919658
3c4o,-47.59,430,9.917040,7.525169,7.962673
3cx6,-30.36,505,16.428804,7.497575,9.091437
2qjb,-47.43,382,12.900808,7.489963,9.303527
2jtt,-30.31,242,11.668918,6.431153,8.604774
2vyr,-41.99,1336,11.264886,7.986555,10.415056
3ejj,-36.2,565,9.825263,9.327649,9.706811
3cqc,-47.93,433,8.665275,7.335730,9.015230
3cqg,-47.93,409,8.873232,7.719526,8.820487
2k5b,-30.81,339,10.442658,8.451569,7.818594
2ve7,-30.81,1010,13.885479,7.124689,11.287861
3beg,-41.67,434,14.936598,22.183945,8.044012
3cx7,-35.87,512,14.136855,8.008803,8.993534
2efd,-46.44,796,13.664486,7.644900,9.065406
3c9a,-46.31,511,11.241777,7.538445,10.673353
2vay,-46.25,167,9.975316,7.347474,9.698075
3d7t,-23.71,514,10.185670,9.184493,8.374656
2v5q,-40.8,829,12.257539,8.730364,9.129877
3crk,-29.0,903,9.327475,6.755050,9.431774
2qna,-40.42,774,11.638863,9.401088,8.577868
3bik,-29.09,446,11.235070,8.540460,10.343733
3bs5,-40.15,157,6.529616,7.424725,6.636833
3bh6,-40.08,475,11.002252,8.168597,10.163372
3bx1,-33.6,900,16.481243,7.195986,13.586531
3d1m,-33.6,484,7.690983,9.481439,8.368131
3b4v,-60.06,1280,10.367049,7.716743,10.471378
3fju,-50.2,372,13.627228,8.182473,8.136546
2oul,-50.05,348,9.477755,6.365238,10.750643
3ixe,-33.9,241,,,
3iol,-37.68,126,,,
2w84,-40.84,77,9.742374,7.892375,10.122261
3da7,-39.3,774,7.823943,8.617770,8.267694
3fp6,-74.2,281,8.707187,7.204816,8.155427
2wjv,-38.24,1654,16.992134,7.372305,10.767259
3inb,-38.24,1044,,,
2kbw,-37.07,191,10.493108,6.405561,9.890268
2khs,-36.78,156,10.515439,7.366620,8.466847
2wel,-37.23,449,6.960562,7.126394,8.850174
2w83,-36.4,613,10.399713,7.603794,8.378139
3g3a,-36.34,1168,10.584173,7.922297,9.716149
3gty,-53.24,561,,,
2zvk,-36.52,777,13.066929,6.095840,9.744658
2k79,-18.12,171,11.373523,7.197517,11.194021
2k7a,-18.12,171,11.114572,7.363961,11.041801
3idc,-52.64,501,,,
2wp0,-34.43,532,9.051239,7.354236,12.865708
3knb,-34.4,194,,,
3h3g,-34.27,493,,,
3ew3,-50.92,569,9.280722,7.932185,9.338223
2wy2,-16.47,412,13.546282,7.532657,10.094944
3hcu,-33.27,509,,,
3hct,-33.27,252,,,
2zvo,-33.08,471,8.377515,7.390810,8.561682
2zvn,-33.08,931,9.115896,7.466703,8.588488
2k8c,-15.67,156,9.614597,7.801124,9.865227
2k8b,-15.67,156,9.402527,7.727130,9.566789
3htu,-32.79,439,,,
2wo2,-28.35,314,11.484982,6.534547,10.850921
3k8p,-45.66,869,,,
3idb,-45.36,492,,,
3eiq,-39.72,1013,9.998826,8.749063,7.740318
3ifq,-39.59,1258,,,
2knb,-28.3,138,9.135272,10.112246,8.790804
3hh2,-45.15,771,,,
3h2u,-27.97,915,,,
3f1p,-22.38,225,12.719639,8.294594,10.576134
3gni,-45.21,639,16.387440,8.059889,9.626479
3ff8,-22.18,425,,7.446849,13.676538
2wqz,-39.27,1443,8.932044,8.543567,9.213684
3hpw,-27.89,235,,,
2w19,-39.12,983,10.002032,7.131360,8.080922
2wfx,-44.83,570,8.120654,9.393469,8.915205
3hg0,-44.5,523,,,
3di2,-27.08,616,11.571547,7.205268,9.816605
3g9v,-68.49,613,9.035786,7.392601,8.729103
3kv4,-34.25,444,,,
3gc3,-32.41,678,11.515800,7.249026,9.506207
2wo3,-32.18,318,12.451203,7.064281,10.063911
2k8f,-31.78,129,11.369198,6.955732,9.643481
2kc8,-38.24,128,9.450243,6.668101,7.706570
3ff7,-21.11,419,16.731207,8.030877,10.643576
3gxu,-38.2,309,,,
3doe,-43.94,303,11.322194,7.158981,10.109779
3g7z,-61.07,269,8.168039,6.889551,8.246871
3fhc,-43.75,605,8.978660,9.759519,8.452897
3di3,-43.82,311,10.530021,7.254613,9.378497
3h8k,-43.82,192,,,
3h2v,-26.57,977,,,
3ho5,-38.0,1051,,,
3jvf,-37.3,478,,,
3etb,-60.15,1489,7.307997,8.639561,8.832820
3gqi,-42.7,530,9.741054,7.182919,9.026393
3g3b,-42.63,1065,11.403141,8.605124,10.065946
3g9w,-25.36,500,9.977776,7.106482,8.418437
3gj8,-31.52,461,10.611283,6.250499,9.522574
2zxx,-47.7,644,12.182981,8.127828,8.472578
3it8,-59.17,2706,,,
3gj5,-24.7,454,10.628287,6.380645,9.620258
3f7p,-24.6,1069,9.731857,8.341011,7.817281
3gj3,-24.6,229,10.873391,6.388203,9.836843
2w81,-47.93,1083,9.442654,9.666400,10.134067
2w80,-47.93,1467,11.001215,9.354736,10.316715
3gj7,-30.81,457,10.321151,6.365136,10.536778
3kls,-47.14,3482,,,
2ka6,-41.57,137,7.659549,6.653291,8.654600
2k2s,-41.53,191,9.695967,6.427251,8.539319
2ka4,-41.3,157,9.809603,6.470544,8.821001
3ejh,-30.26,210,8.558312,6.426690,8.447534
3gb8,-29.61,1227,11.472409,7.972469,10.065742
3gj6,-29.61,229,10.647064,6.124141,11.506317
3gj4,-29.57,453,11.126877,7.082645,10.936699
2kj4,-41.02,119,7.633817,7.954775,7.768770
2wg3,-40.71,1120,11.471418,11.170663,8.720457
2wg4,-40.7,566,7.794467,9.560121,8.989030
2wwx,-40.54,370,10.581234,7.617617,8.040595
2k3u,-46.09,111,8.540433,6.534061,8.368786
2kde,-28.83,263,9.452124,7.334760,9.587792
2wx0,-29.09,351,10.732783,6.370838,9.496208
3ia3,-40.13,450,,,
3bzd,-22.93,343,8.234944,7.618975,10.948283
2kgx,-28.8,265,8.975459,8.929420,8.927773
3gmw,-58.8,832,9.991911,7.140926,8.235573
3fxd,-43.94,214,8.066014,6.534451,8.658899
3fsh,-47.38,355,8.578363,6.987203,8.361210
3h8d,-40.51,614,,,
3e1z,-59.61,321,15.104166,6.059479,9.883392
3h6s,-57.63,1480,,,
3fii,-49.78,429,13.874413,7.148284,10.716595
3fie,-51.37,875,9.823914,6.905604,9.706049
3k9m,-49.65,704,,,
3e2l,-58.0,839,11.927571,8.154163,8.610810
3e2k,-58.0,843,11.752396,8.091183,8.267836
3g7a,-45.92,66,16.008522,7.049227,9.698553
3f50,-45.92,60,11.113804,7.603060,12.182922
3n00,-39.72,205,,,
3mc0,-39.4,673,,,
3fpu,-56.62,166,9.431049,6.555976,10.495668
3laq,-55.76,767,,,
2wpt,-39.95,195,8.625132,9.710908,8.869995
3ogo,-54.19,1369,,,
3l9j,-54.04,279,,,
3mca,-36.58,718,,,
3kuc,-36.27,243,,,
3o6q,-53.29,368,,,
2kwj,-35.96,133,7.320381,7.139910,9.037099
2wp3,-34.82,196,9.029970,6.560388,8.636260
2wwk,-33.63,198,9.934589,6.533379,8.638555
3oky,-33.6,1149,,,
3ma2,-33.19,575,,,
3kud,-32.93,241,,,
3m0a,-32.93,260,,,
3osl,-49.91,740,,,
3k75,-39.72,791,,,
3kz1,-39.72,1075,,,
2xb6,-39.61,1424,12.688241,7.819934,8.735312
2kxh,-27.7,230,9.345895,6.322882,7.742523
3k6g,-44.42,371,,,
3oak,-38.65,362,,,
2x1w,-44.5,1154,12.095405,7.355434,10.148478
2x1x,-44.5,304,13.398518,7.463052,12.254354
2l0f,-21.49,121,9.319557,6.258818,8.945970
3m63,-38.57,1025,,,
3m18,-55.62,372,,,
2kwi,-38.44,234,9.763700,8.417928,9.997925
2wh6,-44.2,179,10.088537,6.500296,8.197385
2rr3,-32.41,172,7.607619,7.357463,8.482870
3onw,-49.3,702,,,
2kwk,-32.18,134,7.555718,8.780212,8.627140
3mjh,-32.08,402,,,
3mhp,-31.74,611,,,
3a4s,-31.69,446,7.806906,8.834526,8.553730
3ohm,-38.24,1077,,,
3hug,-43.94,1363,,,
3ncc,-3.85,392,,,
3kyi,-20.9,231,,,
2xdf,-26.7,1316,9.181210,7.699440,9.674843
3o6b,-37.92,1272,,,
2wd5,-43.71,368,11.280898,6.350575,8.537537
3mzw,-60.83,622,,,
3ouw,-43.6,524,,,
2ktf,-26.47,108,10.645123,6.119031,8.390347
3l89,-37.37,3715,,,
3nvq,-37.34,2124,,,
3kj2,-49.65,173,,,
3kj1,-49.65,174,,,
3kj0,-49.65,181,,,
2wvw,-32.53,5416,8.420708,7.712307,8.405897
3npz,-31.4,587,,,
3n06,-14.32,392,,,
2l14,-31.44,108,8.537842,7.193577,9.933355
3m9d,-31.21,2418,,,
3oiq,-30.94,213,,,
2xgy,-25.82,294,9.247492,7.215705,8.837284
2xqr,-42.86,4098,12.371140,7.578364,8.052461
2xa0,-42.54,326,7.895967,6.174618,8.278655
3oux,-42.56,550,,,
2wy8,-36.78,358,8.430722,11.132902,7.661753
3kw5,-36.61,298,,,
3jza,-65.77,361,,,
2x9a,-30.57,302,9.473538,6.645511,8.734246
3mzg,-13.15,392,,,
3ajb,-42.18,319,7.638129,6.360540,8.720479
3lbx,-36.52,322,,,
2kwo,-24.71,133,7.193337,10.285418,8.355330
2kri,-24.76,120,7.787190,8.508279,7.748499
3im4,-41.77,126,,,
3n0p,-13.08,392,,,
3ol2,-30.02,1110,,,
2kvq,-24.55,139,15.566798,7.476315,10.179356
2kwu,-24.5,112,9.283851,6.452043,9.091328
2kqs,-24.3,117,7.804533,6.938240,8.104138
3mj7,-30.26,418,,,
2x2d,-29.76,609,,6.566707,
2l0t,-23.94,239,8.569636,7.039190,9.353425
2wy3,-40.98,610,12.597224,8.737565,10.724002
3lb8,-23.86,1043,,,
2kyg,-40.95,138,12.677928,6.093618,8.334054
3me2,-58.03,322,,,
3k2m,-46.55,399,,,
3egg,-46.01,814,9.250390,7.764585,8.782274
3kbt,-45.84,886,,,
3gs2,-45.87,276,9.922620,7.733389,8.682280
3nvn,-45.81,857,,,
3ixs,-40.22,812,,,
2kwv,-23.09,112,9.668602,7.759733,9.129963
3ncb,-5.89,392,,,
3k1r,-51.37,266,,,
2wus,-30.26,837,8.965623,8.772931,9.332480
3lms,-50.92,383,,,
3l33,-39.19,1104,,,
2xtt,-61.07,258,11.520838,7.923274,8.791483
3kz0,-37.46,334,,,
2yj1,-45.01,321,9.121846,6.655719,9.331540
3qbr,-42.63,371,,,
3zrz,-60.06,214,,,
2xqw,-38.5,711,9.097165,9.443685,10.292594
3p71,-36.64,618,,,
3alz,-35.87,526,10.820930,8.072324,9.104248
3au4,-35.82,556,12.439270,6.111025,11.382220
3tac,-35.73,616,,,
3ry6,-18.84,595,,,
3oed,-35.96,848,,,
3ona,-35.2,224,,,
3syn,-35.51,1096,,,
2y8s,-51.4,848,12.227050,6.666199,10.524261
3qbt,-34.51,1217,,,
3n4i,-51.13,430,,,
3qhy,-68.26,529,,,
3rt0,-33.79,972,,,
3noc,-50.36,3391,,,
3o5t,-33.24,395,,,
3qq8,-33.24,257,,,
2kxw,-45.66,100,12.418093,6.854747,8.609231
3qc8,-28.26,250,,,
2xze,-39.65,322,9.905607,7.374400,8.068767
3qlu,-45.43,1498,,,
2xbb,-28.3,904,12.050306,7.713318,11.862965
3rbb,-45.15,378,,,
2l2l,-45.13,79,10.270114,6.754286,8.005574
3onl,-28.09,371,,,
3oj2,-39.3,688,,,
3ojm,-39.3,356,,,
3qml,-45.01,1282,,,
2y8t,-44.79,855,12.793976,6.573034,10.510270
2xpx,-38.95,176,14.201616,6.168037,9.617079
3zs9,-38.95,661,,,
3zwl,-38.79,769,,,
3b08,-27.19,836,10.056620,6.725183,9.417994
3rea,-38.51,372,,,
3q9n,-44.35,588,,,
3sja,-44.35,2002,,,
3sua,-26.96,2048,,,
2l9s,-32.29,139,13.695804,6.772695,10.651503
3owt,-31.98,316,,,
3sf4,-49.2,1183,,,
3rdz,-48.92,574,,,
3sgk,-48.73,586,,,
3r4d,-43.78,856,,,
3nog,-43.66,3382,,,
3qbq,-37.89,638,,,
2kt5,-25.99,164,11.840597,6.310897,9.909727
2y9m,-49.65,283,10.461345,7.965818,8.061220
3aon,-48.49,279,11.927378,7.029924,9.108590
3r9a,-31.14,1355,,,
2xhe,-48.0,787,10.855041,7.724793,9.436139
3t6g,-42.94,837,,,
3sjd,-42.86,919,,,
3oxu,-25.5,1252,,,
3q4f,-30.75,1536,,,
3qs7,-42.23,1627,,,
3r85,-25.02,633,,,
3pvm,-42.1,5704,,,
2x89,-41.99,744,8.224211,8.462858,8.120084
3q9u,-47.28,589,,,
3s8v,-41.67,1277,,,
3zs8,-41.62,705,,,
3t1q,-30.26,443,,,
3uyo,-29.49,208,,,
3rzw,-40.91,331,,,
3rgf,-46.53,587,,,
3zyi,-46.44,698,,,
3zyj,-46.25,1444,,,
3sku,-40.84,1219,,,
3s2k,-40.79,1298,,,
2l1l,-46.55,154,9.145247,6.805604,9.028884
2xns,-34.77,710,11.190560,6.731404,9.625236
3qht,-40.45,338,,,
2ld7,-45.87,169,9.719511,7.086868,8.608221
3olm,-23.08,486,,,
3qsk,-40.19,242,,,
3reb,-40.06,339,,,
2ygg,-43.94,212,8.154785,9.857519,10.086767
3t04,-41.57,201,,,
3ay4,-41.22,591,10.294153,8.395799,10.325428
4a1u,-35.77,163,,,
3qtl,-50.48,892,,,
3o40,-50.54,226,,,
3p95,-33.24,282,,,
3pnr,-45.23,369,,,
3zv0,-22.59,963,,,
4a94,-64.55,706,,,
3p92,-46.97,282,,,
3o43,-45.92,223,,,
4eah,-51.77,2852,,,
3ujg,-34.65,605,,,
3ukx,-60.06,449,,,
3ro2,-41.88,350,,,
4di3,-41.22,1439,,,
3uzq,-57.57,329,,,
2lxm,-57.63,199,8.374354,7.837649,7.977030
3v6b,-37.4,281,,,
3tsr,-89.6,2305,,,
4eee,-55.36,518,,,
4b1v,-37.07,763,,,
4etp,-36.71,666,,,
4g59,-36.4,853,,,
3uzv,-53.46,326,,,
3tkl,-36.34,363,,,
4auo,-36.52,912,,,
4dbg,-35.87,228,,,
3uz0,-35.68,503,,,
4dt1,-35.68,404,,,
3tei,-35.96,356,,,
3u9d,-35.96,756,,,
4ft4,-35.96,1391,,,
4apf,-35.31,605,,,
3twi,-35.51,859,,,
3ux9,-52.09,720,,,
2luh,-35.13,226,7.981544,7.194706,8.958046
4afz,-51.63,560,,,
4dra,-33.86,677,,,
4ehq,-33.6,165,,,
3u9z,-33.18,377,,,
4dm6,-33.24,502,,,
4dm8,-33.24,493,,,
4dxa,-32.79,470,,,
3qt2,-49.78,1051,,,
2lpb,-28.51,115,10.036597,8.473459,10.503539
4hcn,-22.67,322,,,
3ul4,-45.34,205,,,
3zuv,-39.56,958,,,
2lvo,-27.93,128,7.522115,6.078474,8.674772
2lkm,-45.21,214,14.386971,6.342507,9.590810
4fzv,-44.95,568,,,
2lvp,-27.81,204,8.359089,7.000635,8.663751
3vyr,-39.12,443,,,
2l29,-44.61,209,8.112931,8.882764,9.520696
3zwh,-33.18,235,,,
4f9p,-44.66,859,,,
3vhx,-27.53,1050,,,
3sri,-38.71,311,,,
3p9w,-44.5,875,,,
3u82,-44.33,531,,,
3v4y,-44.23,1340,,,
4g6u,-44.23,365,,,
4g8a,-55.54,1486,,,
2lox,-38.36,135,8.842978,7.504922,7.742558
4h6j,-38.36,217,,,
3t0y,-38.32,313,,,
3u43,-85.62,224,,,
4eoz,-34.25,797,,,
4giq,-32.42,319,,,
3ul0,-49.3,449,,,
4b93,-32.18,348,,,
4eqa,-49.18,592,,,
3ukz,-49.2,450,,,
4afq,-49.2,566,,,
4aqe,-32.08,444,,,
3uez,-66.22,1307,,,
3vpj,-48.84,1172,,,
3ul1,-48.91,447,,,
3ula,-48.78,832,,,
4f38,-48.73,382,,,
2lqc,-31.61,101,12.097963,6.883134,11.928514
4apx,-31.61,446,,,
3zwz,-43.91,333,,,
4ap2,-43.94,625,,,
4g6v,-43.81,936,,,
2lp0,-26.56,80,7.051406,6.979117,7.921342
2lvq,-26.52,204,9.540898,6.687667,11.730878
3qwq,-49.65,713,,,
4ayi,-49.65,482,,,
4etw,-31.44,660,,,
4f48,-31.36,338,,,
2leh,-48.41,215,15.838953,7.774431,10.228247
3u8x,-31.21,756,,,
3sjh,-31.21,379,,,
3tl8,-31.14,1560,,,
4dh2,-42.73,456,,,
4aye,-31.26,1091,,,
2ly4,-36.88,130,9.182006,7.824341,9.413615
4dge,-25.2,609,,,
3uyp,-30.75,322,,,
2y5b,-30.69,940,9.307446,7.053682,8.896040
4a49,-24.98,222,,,
3qi2,-41.93,695,,,
3qbv,-36.08,950,,,
2lp4,-13.69,353,9.854954,7.920575,9.795934
2lnk,-47.93,241,10.370329,6.332121,8.530149
2lfw,-47.1,219,10.058442,6.641911,9.408584
4gh7,-47.02,901,,,
4exp,-35.96,454,,,
3tu3,-41.35,645,,,
3oun,-41.3,347,,,
4a1s,-47.38,746,,,
4ag2,-46.85,565,,,
3zu7,-46.69,498,,,
4f9l,-40.98,891,,,
4did,-29.8,306,,,
4ds8,-29.19,471,,,
4ayd,-34.74,1084,,,
2lqh,-23.23,139,8.187342,6.845939,8.670155
3uze,-46.21,623,,,
4hcp,-28.69,320,,,
4dkd,-40.11,593,,,
4dj9,-39.98,265,,,
3ukw,-56.84,448,,,
4f0a,-32.08,412,,,
4dcn,-31.29,719,,,
4dvg,-31.52,458,,,
3uir,-53.43,601,,,
4gi3,-52.33,331,,,
3tg1,-34.22,464,,,
3v96,-51.13,323,,,
4dzv,-45.43,215,,,
4dg4,-31.78,1128,,,
4an7,-48.49,379,,,
2yq7,-42.56,163,9.561974,6.200047,8.794341
4g35,-41.48,147,,,
4hx3,-46.93,1466,,,
4ksd,-37.59,1300,,,
3tz1,-39.1,95,,,
3w8h,-38.73,256,,,
4k0a,-55.62,361,,,
4kbb,-38.5,867,,,
4hgk,-55.49,1172,,,
4gn4,-37.65,237,,,
4bpx,-37.68,1147,,,
4c4p,-37.68,223,,,
4hff,-54.62,251,,,
4hfk,-54.62,515,,,
4kt3,-54.71,265,,,
4b1y,-37.49,394,,,
3zet,-37.31,563,,,
3zeu,-37.31,1134,,,
4l67,-37.07,309,,,
4hdo,-36.78,473,,,
4iyp,-37.23,317,,,
4ic7,-36.34,942,,,
4bqd,-53.09,181,,,
4awx,-35.96,315,,,
4iop,-52.36,238,,,
4bfi,-35.51,393,,,
4gu0,-34.99,3019,,,
4fq0,-34.59,522,,,
4c5g,-34.17,471,,,
4kt5,-34.01,311,,,
4dx8,-33.71,1019,,,
4j32,-50.76,258,,,
3zkq,-50.92,489,,,
4hh3,-33.6,711,,,
4jeu,-50.54,783,,,
4jo6,-50.32,531,,,
4gko,-16.12,1987,,,
4h2w,-32.89,744,,,
4gaf,-67.04,458,,,
4hsa,-49.78,965,,,
3vep,-28.47,458,,,
4asw,-39.95,239,,,
2m04,-45.66,199,9.763759,7.318511,8.204245
4hem,-45.66,755,,,
2m49,-28.54,434,9.745770,9.386104,7.690426
4geh,-45.27,530,,,
4c99,-39.63,514,,,
4h5s,-27.99,196,,,
2m0j,-45.21,176,9.314883,6.880912,9.489182
4jeg,-45.21,207,,,
2lz6,-28.09,136,9.040057,7.123137,9.462854
4llo,-27.85,1143,,,
4jw3,-33.33,416,,,
4je4,-44.83,195,,,
4jzw,-61.71,723,,,
4kgg,-38.9,608,,,
4j6g,-44.45,603,,,
4kr0,-44.39,936,,,
4hgm,-44.5,581,,,
3znz,-38.29,412,,,
4ios,-44.07,861,,,
4eig,-51.37,276,,,
4hrl,-51.37,331,,,
3w8i,-49.47,251,,,
2m86,-49.0,134,12.229762,7.404685,10.763733
4glv,-48.71,941,,,
4iu3,-43.84,443,,,
4bru,-38.24,404,,,
4aoq,-38.21,773,,,
4i6l,-43.94,292,,,
4h2s,-26.64,699,,,
4ekc,-43.71,890,,,
4ekd,-43.71,450,,,
3wa5,-43.1,520,,,
4c9b,-43.07,666,,,
4jra,-43.11,1005,,,
4bsr,-49.65,1170,,,
4h3p,-32.53,713,,,
4ng2,-31.36,1368,,,
4g01,-31.21,402,,,
4k81,-31.07,1660,,,
4jw2,-48.13,263,,,
4hep,-37.23,292,,,
4gn5,-42.85,478,,,
4ihl,-36.88,472,,,
4gla,-25.41,436,,,
2m55,-25.43,167,9.306662,8.099508,8.760983
4kgq,-42.49,609,,,
3v3k,-42.31,3238,,,
4lad,-42.35,223,,,
4hnj,-48.65,294,,,
4eiz,-48.65,572,,,
4euk,-30.75,288,,,
4b1x,-30.61,385,,,
4gn3,-30.46,2104,,,
4kjy,-59.27,456,,,
3zo0,-36.3,388,,,
4i0c,-36.17,513,,,
4krl,-41.83,327,,,
2m5a,-41.77,116,11.458357,7.232315,9.410100
4i9x,-46.94,572,,,
4brw,-41.67,406,,,
3vv2,-58.7,385,,,
4kt1,-41.37,551,,,
4ika,-24.2,482,,,
2lww,-41.35,170,8.823580,6.865099,9.038441
4ihh,-41.26,2336,,,
4bkx,-30.26,530,,,
4aor,-41.18,771,,,
4iw4,-35.47,755,,,
3wn7,-46.44,620,,,
4jeh,-46.18,777,,,
4ka2,-63.22,361,,,
2m0g,-40.39,249,10.548144,7.599411,9.156725
4j2l,-40.26,294,,,
4dpg,-40.22,4148,,,
4lqw,-22.98,625,,,
4fza,-39.98,605,,,
3vux,-28.8,327,,,
2m5b,-28.54,188,11.278802,5.839032,9.332251
3w6j,-41.39,956,,,
4j2y,-51.69,388,,,
4doq,-39.12,754,,,
4bd9,-42.86,469,,,
4ilw,-47.01,682,,,
4nst,-35.18,1126,,,
4bpk,-45.11,303,,,
4plo,-42.35,604,,,
4pbz,-41.67,408,,,
4lgr,-56.84,375,,,
4mit,-38.52,879,,,
4m1l,-38.5,168,,,
3wkt,-39.95,1618,,,
4pz6,-38.11,755,,,
4lgp,-55.01,753,,,
4ml7,-54.61,455,,,
4qt8,-37.4,1719,,,
4jmf,-37.25,282,,,
4peq,-89.6,1156,,,
4pc0,-38.24,846,,,
3wry,-37.15,1705,,,
4pl8,-37.07,726,,,
4qxa,-37.07,319,,,
4p1n,-36.78,497,,,
4nqw,-36.4,221,,,
4r8g,-36.01,748,,,
4lrz,-35.96,2017,,,
4ofy,-35.5,1905,,,
4kdi,-35.1,463,,,
4kvg,-35.13,818,,,
4cmm,-34.8,236,,,
4mrt,-34.45,302,,,
4nso,-51.42,285,,,
4byf,-34.51,1690,,,
3wdg,-50.92,326,,,
4pqt,-34.01,261,,,
4u0q,-34.01,933,,,
4cu4,-33.79,714,,,
4re1,-33.79,505,,,
4w6y,-50.24,274,,,
3wkn,-50.2,2010,,,
4qlb,-33.08,2725,,,
4kv5,-50.05,1366,,,
2mcn,-32.66,133,7.985095,7.379709,7.513231
4cdk,-32.66,1040,,,
4k1r,-28.49,531,,,
4k5a,-45.59,325,,,
4q96,-22.51,551,,,
4cj2,-45.43,381,,,
4pas,-39.37,74,,,
2ru4,-39.38,199,12.637184,6.404830,10.903853
4m38,-28.09,674,,,
4m5f,-62.04,523,,,
2mbb,-22.18,114,9.436201,7.596092,8.236492
4p3y,-39.02,567,,,
4ons,-44.53,552,,,
4pou,-38.84,240,,,
4lrx,-27.53,1302,,,
4n7z,-38.54,248,,,
2mej,-27.22,339,10.141799,7.278419,8.096267
4d0n,-27.07,550,,,
4v2c,-27.08,858,,,
4myw,-44.06,1070,,,
4bwq,-26.86,635,,,
2mre,-26.95,112,9.079852,6.549670,8.796957
4per,-85.62,567,,,
4u2x,-51.37,1162,,,
3wrx,-32.41,1699,,,
4pbv,-32.08,1095,,,
4u5w,-31.85,550,,,
4ra0,-66.03,1145,,,
4c4k,-31.78,191,,,
4mqv,-31.61,182,,,
4mjs,-43.75,2060,,,
4oyd,-55.12,548,,,
4ojk,-26.58,404,,,
2mnu,-37.89,119,10.172482,7.971166,9.393060
2ruk,-26.35,128,6.762817,8.853309,7.310430
4bxl,-37.78,114,,,
4nl9,-37.69,248,,,
2mp0,-9.14,398,10.209057,8.347820,8.379457
4nzl,-43.39,314,,,
4ct0,-43.11,582,,,
4x7f,-43.11,836,,,
4p6i,-37.31,1291,,,
4w6w,-48.21,265,,,
4x7d,-48.26,840,,,
4u4c,-37.15,980,,,
2mak,-20.03,210,10.490006,6.983820,7.255916
4lyl,-42.86,2440,,,
4n7v,-42.78,477,,,
4v0o,-36.86,1938,,,
4v0n,-36.86,1927,,,
4qzv,-25.38,1870,,,
4msm,-31.52,524,,,
2mj5,-30.63,128,9.198608,6.490222,10.555445
4ol0,-47.53,1074,,,
4noo,-47.42,578,,,
4ovn,-41.88,1373,,,
4pp8,-36.03,546,,,
4cj1,-41.77,607,,,
4lzx,-47.35,182,,,
4w6x,-47.26,267,,,
2mfq,-30.16,137,11.045555,6.655279,10.417715
4lxr,-46.97,885,,,
4nzw,-35.94,575,,,
4pbw,-35.72,1359,,,
4js0,-30.26,207,,,
2mjw,-29.72,390,11.388886,6.982097,8.258170
3wwn,-29.56,317,,,
4m0w,-29.53,393,,,
4ln0,-46.62,457,,,
4k5b,-52.46,601,,,
3wo3,-40.87,2624,,,
4m6b,-46.51,418,,,
4x7e,-46.55,847,,,
4mp0,-46.01,644,,,
2mur,-28.73,122,8.756336,6.853289,8.561769
4c2a,-45.74,468,,,
4kfz,-40.11,548,,,
4cj0,-40.0,594,,,
4c2b,-45.92,1845,,,
4l0p,-45.92,314,,,
2mlz,-27.7,539,11.665284,7.397296,10.322306
4c7n,-51.37,98,,,
4q5u,-68.49,169,,,
2mly,-32.53,582,14.754725,7.260940,13.011378
4mne,-42.05,2179,,,
2mlx,-30.81,523,9.475771,7.555277,9.363299
4niq,-30.26,203,,,
4u30,-39.16,1112,,,
4u32,-36.65,278,,,
4nm3,-24.1,376,,,
4nu1,-24.1,375,,,
4zgm,-55.49,128,,,
4ywc,-37.73,402,,,
5agw,-47.33,306,,,
4zii,-42.7,176,,,
4rws,-48.65,508,,,
5bnq,-55.97,322,,,
4yh7,-38.95,909,,,
4wen,-39.95,374,,,
4zkc,-55.12,277,,,
4qlp,-55.01,374,,,
4rwt,-37.89,1186,,,
4zk9,-54.91,277,,,
4x33,-37.68,384,,,
4zi2,-36.4,615,,,
5abv,-52.99,947,,,
5dfw,-53.09,312,,,
5d3i,-52.64,739,,,
4yoc,-35.51,1411,,,
4zgy,-35.13,508,,,
2mzd,-34.57,115,8.062386,6.736849,8.860239
2n2h,-34.43,152,18.184958,6.557310,12.345778
5cff,-34.08,618,,,
4xxb,-33.27,193,,,
4xl5,-50.54,471,,,
4zlt,-50.54,879,,,
4y5o,-33.41,181,,,
2mv7,-50.27,94,10.416887,6.471358,10.307474
