pdb_id	delta_G	complex_count	delta_H
3pvm	-42.10	5704	-153.03
2x89	-41.99	744	-64.23
3q9u	-47.28	589	-66.75
3s8v	-41.67	1277	-73.44
3zs8	-41.62	705	-63.17
3t1q	-30.26	443	-47.12
3uyo	-29.49	208	-42.15
3rzw	-40.91	331	-55.77
3rgf	-46.53	587	-65.97
3zyi	-46.44	698	-67.86
3zyj	-46.25	1444	-81.01
3sku	-40.84	1219	-71.58
3s2k	-40.79	1298	-72.94
2l1l	-46.55	154	-58.24
2xns	-34.77	710	-56.40
3qht	-40.45	338	-55.43
2ld7	-45.87	169	-57.83
3olm	-23.08	486	-40.71
3qsk	-40.19	242	-53.46
3reb	-40.06	339	-55.06
2ygg	-43.94	212	-56.67
3t04	-41.57	201	-54.10
3ay4	-41.22	591	-60.73
4a1u	-35.77	163	-47.62
3qtl	-50.48	892	-75.37
3o40	-50.54	226	-63.52
3p95	-33.24	282	-47.22
3pnr	-45.23	369	-60.77
3zv0	-22.59	963	-48.75
4a94	-64.55	706	-86.11
3p92	-46.97	282	-60.95
3o43	-45.92	223	-58.85
4eah	-51.77	2852	-111.70
3ujg	-34.65	605	-54.41
3ukx	-60.06	449	-77.03
3ro2	-41.88	350	-57.08
4di3	-41.22	1439	-75.89
3uzq	-57.57	329	-72.39
2lxm	-57.63	199	-70.13
3v6b	-37.40	281	-51.36
3tsr	-89.60	2305	-139.75
4eee	-55.36	518	-73.56
4b1v	-37.07	763	-59.65
4etp	-36.71	666	-57.56
4g59	-36.40	853	-60.59
3uzv	-53.46	326	-68.23
3tkl	-36.34	363	-51.77
4auo	-36.52	912	-61.77
4dbg	-35.87	228	-48.89
3uz0	-35.68	503	-53.61
4dt1	-35.68	404	-51.84
3tei	-35.96	356	-51.27
3u9d	-35.96	756	-58.42
4ft4	-35.96	1391	-69.77
4apf	-35.31	605	-55.07
3twi	-35.51	859	-59.81
3ux9	-52.09	720	-73.90
2luh	-35.13	226	-48.11
4afz	-51.63	560	-70.58
4dra	-33.86	677	-54.90
4ehq	-33.60	165	-45.49
3u9z	-33.18	377	-48.86
4dm6	-33.24	502	-51.16
4dm8	-33.24	493	-50.99
4dxa	-32.79	470	-50.13
3qt2	-49.78	1051	-77.51
2lpb	-28.51	115	-39.51
4hcn	-22.67	322	-37.37
3ul4	-45.34	205	-57.95
3zuv	-39.56	958	-65.63
2lvo	-27.93	128	-39.16
2lkm	-45.21	214	-57.98
4fzv	-44.95	568	-64.05
2lvp	-27.81	204	-40.40
3vyr	-39.12	443	-55.98
2l29	-44.61	209	-57.29
3zwh	-33.18	235	-46.32
4f9p	-44.66	859	-68.96
3vhx	-27.53	1050	-55.24
3sri	-38.71	311	-53.21
3p9w	-44.50	875	-69.09
3u82	-44.33	531	-62.76
3v4y	-44.23	1340	-77.13
4g6u	-44.23	365	-59.70
4g8a	-55.54	1486	-91.05
2lox	-38.36	135	-49.71
4h6j	-38.36	217	-51.18
3t0y	-38.32	313	-52.86
3u43	-85.62	224	-98.57
4eoz	-34.25	797	-57.44
4giq	-32.42	319	-47.06
3ul0	-49.30	449	-66.27
4b93	-32.18	348	-47.34
4eqa	-49.18	592	-68.70
3ukz	-49.20	450	-66.19
4afq	-49.20	566	-68.26
4aqe	-32.08	444	-48.96
3uez	-66.22	1307	-98.53
3vpj	-48.84	1172	-78.74
3ul1	-48.91	447	-65.84
3ula	-48.78	832	-72.60
4f38	-48.73	382	-64.50
2lqc	-31.61	101	-42.36
4apx	-31.61	446	-48.52
3zwz	-43.91	333	-58.80
4ap2	-43.94	625	-64.06
4g6v	-43.81	936	-69.49
2lp0	-26.56	80	-36.93
2lvq	-26.52	204	-39.11
3qwq	-49.65	713	-71.34
4ayi	-49.65	482	-67.21
4etw	-31.44	660	-52.18
4f48	-31.36	338	-46.34
2leh	-48.41	215	-61.19
3u8x	-31.21	756	-53.67
3sjh	-31.21	379	-46.93
3tl8	-31.14	1560	-67.97
4dh2	-42.73	456	-59.82
4aye	-31.26	1091	-59.71
2ly4	-36.88	130	-48.14
4dge	-25.20	609	-45.03
3uyp	-30.75	322	-45.45
2y5b	-30.69	940	-56.44
4a49	-24.98	222	-37.89
3qi2	-41.93	695	-63.30
3qbv	-36.08	950	-62.01
2lp4	-13.69	353	-28.94
2lnk	-47.93	241	-61.18
2lfw	-47.10	219	-59.96
4gh7	-47.02	901	-72.07
4exp	-35.96	454	-53.02
3tu3	-41.35	645	-61.82
3oun	-41.30	347	-56.44
4a1s	-47.38	746	-69.66
4ag2	-46.85	565	-65.89
3zu7	-46.69	498	-64.53
4f9l	-40.98	891	-65.85
4did	-29.80	306	-44.21
4ds8	-29.19	471	-46.55
4ayd	-34.74	1084	-63.06
2lqh	-23.23	139	-34.66
3uze	-46.21	623	-66.29
4hcp	-28.69	320	-43.35
4dkd	-40.11	593	-59.65
4dj9	-39.98	265	-53.66
3ukw	-56.84	448	-73.79
4f0a	-32.08	412	-48.39
4dcn	-31.29	719	-53.09
4dvg	-31.52	458	-48.65
3uir	-53.43	601	-73.12
4gi3	-52.33	331	-67.19
3tg1	-34.22	464	-51.46
3v96	-51.13	323	-65.85
4dzv	-45.43	215	-58.21
4dg4	-31.78	1128	-60.89
4an7	-48.49	379	-64.21
2yq7	-42.56	163	-54.41
4g35	-41.48	147	-53.05
4hx3	-46.93	1466	-82.08
4ksd	-37.59	1300	-69.77
3tz1	-39.10	95	-49.74
3w8h	-38.73	256	-52.25
4k0a	-55.62	361	-71.01
4kbb	-38.50	867	-62.94
4hgk	-55.49	1172	-85.39
4gn4	-37.65	237	-50.83
4bpx	-37.68	1147	-67.13
4c4p	-37.68	223	-50.61
4hff	-54.62	251	-68.05
4hfk	-54.62	515	-72.77
4kt3	-54.71	265	-68.39
4b1y	-37.49	394	-53.47
3zet	-37.31	563	-56.32
3zeu	-37.31	1134	-66.53
4l67	-37.07	309	-51.53
4hdo	-36.78	473	-54.18
4iyp	-37.23	317	-51.84
4ic7	-36.34	942	-62.12
4bqd	-53.09	181	-65.27
4awx	-35.96	315	-50.53
4iop	-52.36	238	-65.56
4bfi	-35.51	393	-51.48
4gu0	-34.99	3019	-97.91
4fq0	-34.59	522	-52.86
4c5g	-34.17	471	-51.53
4kt5	-34.01	311	-48.51
4dx8	-33.71	1019	-60.87
4j32	-50.76	258	-64.31
3zkq	-50.92	489	-68.60
4hh3	-33.60	711	-55.25
4jeu	-50.54	783	-73.48
4jo6	-50.32	531	-68.75
4gko	-16.12	1987	-60.59
4h2w	-32.89	744	-55.13
4gaf	-67.04	458	-84.17
4hsa	-49.78	965	-75.97
3vep	-28.47	458	-45.60
4asw	-39.95	239	-53.16
2m04	-45.66	199	-58.16
4hem	-45.66	755	-68.10
2m49	-28.54	434	-45.24
4geh	-45.27	530	-63.69
4c99	-39.63	514	-57.76
4h5s	-27.99	196	-40.43
2m0j	-45.21	176	-57.30
4jeg	-45.21	207	-57.85
2lz6	-28.09	136	-39.46
4llo	-27.85	1143	-57.23
4jw3	-33.33	416	-49.71
4je4	-44.83	195	-57.26
4jzw	-61.71	723	-83.58
4kgg	-38.90	608	-58.71
4j6g	-44.45	603	-64.17
4kr0	-44.39	936	-70.07
4hgm	-44.50	581	-63.83
3znz	-38.29	412	-54.60
4ios	-44.07	861	-68.40
4eig	-51.37	276	-65.24
4hrl	-51.37	331	-66.23
3w8i	-49.47	251	-62.90
2m86	-49.00	134	-60.34
4glv	-48.71	941	-74.48
4iu3	-43.84	443	-60.70
4bru	-38.24	404	-54.40
4aoq	-38.21	773	-60.97
4i6l	-43.94	292	-58.10
4h2s	-26.64	699	-48.08
4ekc	-43.71	890	-68.56
4ekd	-43.71	450	-60.70
3wa5	-43.10	520	-61.34
4c9b	-43.07	666	-63.92
4jra	-43.11	1005	-70.02
4bsr	-49.65	1170	-79.51
4h3p	-32.53	713	-54.22
4ng2	-31.36	1368	-64.76
4g01	-31.21	402	-47.34
4k81	-31.07	1660	-69.69
4jw2	-48.13	263	-61.77
4hep	-37.23	292	-51.39
4gn5	-42.85	478	-60.34
4ihl	-36.88	472	-54.26
4gla	-25.41	436	-42.15
2m55	-25.43	167	-37.36
4kgq	-42.49	609	-62.32
3v3k	-42.31	3238	-109.15
4lad	-42.35	223	-55.28
4hnj	-48.65	294	-62.85
4eiz	-48.65	572	-67.82
4euk	-30.75	288	-44.84
4b1x	-30.61	385	-46.43
4gn3	-30.46	2104	-77.02
4kjy	-59.27	456	-76.36
3zo0	-36.30	388	-52.18
4i0c	-36.17	513	-54.28
4krl	-41.83	327	-56.62
2m5a	-41.77	116	-52.78
4i9x	-46.94	572	-66.11
4brw	-41.67	406	-57.87
3vv2	-58.70	385	-74.52
4kt1	-41.37	551	-60.16
4ika	-24.20	482	-41.76
2lww	-41.35	170	-53.33
4ihh	-41.26	2336	-91.97
4bkx	-30.26	530	-48.68
4aor	-41.18	771	-63.91
4iw4	-35.47	755	-57.91
3wn7	-46.44	620	-66.47
4jeh	-46.18	777	-69.01
4ka2	-63.22	361	-78.61
2m0g	-40.39	249	-53.78
4j2l	-40.26	294	-54.46
4dpg	-40.22	4148	-123.33
4lqw	-22.98	625	-43.09
4fza	-39.98	605	-59.74
3vux	-28.80	327	-43.59
2m5b	-28.54	188	-40.84
3w6j	-41.39	956	-67.42
4j2y	-51.69	388	-67.57
4doq	-39.12	754	-61.54
4bd9	-42.86	469	-60.19
4ilw	-47.01	682	-68.14
4nst	-35.18	1126	-64.25
4bpk	-45.11	303	-59.47
4plo	-42.35	604	-62.09
4pbz	-41.67	408	-57.91
4lgr	-56.84	375	-72.48
4mit	-38.52	879	-63.18
4m1l	-38.50	168	-50.44
3wkt	-39.95	1618	-77.82
4pz6	-38.11	755	-60.55
4lgp	-55.01	753	-77.41
4ml7	-54.61	455	-71.69
4qt8	-37.40	1719	-77.08
4jmf	-37.25	282	-51.23
4peq	-89.60	1156	-119.21
4pc0	-38.24	846	-62.31
3wry	-37.15	1705	-76.58
4pl8	-37.07	726	-58.99
4qxa	-37.07	319	-51.71
4p1n	-36.78	497	-54.61
4nqw	-36.40	221	-49.29
4r8g	-36.01	748	-58.32
4lrz	-35.96	2017	-80.96
4ofy	-35.50	1905	-78.50
4kdi	-35.10	463	-52.32
4kvg	-35.13	818	-58.70
4cmm	-34.80	236	-47.96
4mrt	-34.45	302	-48.79
4nso	-51.42	285	-65.46
4byf	-34.51	1690	-73.67
3wdg	-50.92	326	-65.69
4pqt	-34.01	261	-47.62
4u0q	-34.01	933	-59.63
4cu4	-33.79	714	-55.50
4re1	-33.79	505	-51.76
4w6y	-50.24	274	-64.08
3wkn	-50.20	2010	-95.08
4qlb	-33.08	2725	-90.74
4kv5	-50.05	1366	-83.41
2mcn	-32.66	133	-43.98
4cdk	-32.66	1040	-60.20
4k1r	-28.49	531	-46.92
4k5a	-45.59	325	-60.34
4q96	-22.51	551	-41.30
4cj2	-45.43	381	-61.18
4pas	-39.37	74	-49.63
2ru4	-39.38	199	-51.88
4m38	-28.09	674	-49.08
4m5f	-62.04	523	-80.33
2mbb	-22.18	114	-33.16
4p3y	-39.02	567	-58.10
4ons	-44.53	552	-63.34
4pou	-38.84	240	-52.07
4lrx	-27.53	1302	-59.75
4n7z	-38.54	248	-51.91
2mej	-27.22	339	-42.22
4d0n	-27.07	550	-45.84
4v2c	-27.08	858	-51.36
4myw	-44.06	1070	-72.13
4bwq	-26.86	635	-47.15
2mre	-26.95	112	-37.89
4per	-85.62	567	-104.70
4u2x	-51.37	1162	-81.09
3wrx	-32.41	1699	-71.73
4pbv	-32.08	1095	-60.60
4u5w	-31.85	550	-50.62
4ra0	-66.03	1145	-95.44
4c4k	-31.78	191	-44.14
4mqv	-31.61	182	-43.80
4mjs	-43.75	2060	-89.52
4oyd	-55.12	548	-73.86
4ojk	-26.58	404	-42.74
2mnu	-37.89	119	-48.96
2ruk	-26.35	128	-37.58
4bxl	-37.78	114	-48.76
4nl9	-37.69	248	-51.06
2mp0	-9.14	398	-25.20
4nzl	-43.39	314	-57.94
4ct0	-43.11	582	-62.46
4x7f	-43.11	836	-67.00
4p6i	-37.31	1291	-69.33
4w6w	-48.21	265	-61.89
4x7d	-48.26	840	-72.22
4u4c	-37.15	980	-63.61
2mak	-20.03	210	-32.72
4lyl	-42.86	2440	-95.43
4n7v	-42.78	477	-60.25
4v0o	-36.86	1938	-80.45
4v0n	-36.86	1927	-80.25
4qzv	-25.38	1870	-67.76
4msm	-31.52	524	-49.83
2mj5	-30.63	128	-41.86
4ol0	-47.53	1074	-75.67
4noo	-47.42	578	-66.69
4ovn	-41.88	1373	-75.37
4pp8	-36.03	546	-54.73
4cj1	-41.77	607	-61.56
4lzx	-47.35	182	-59.54
4w6x	-47.26	267	-60.97
2mfq	-30.16	137	-41.55
4lxr	-46.97	885	-71.73
4nzw	-35.94	575	-55.16
4pbw	-35.72	1359	-68.96
4js0	-30.26	207	-42.90
2mjw	-29.72	390	-45.63
3wwn	-29.56	317	-44.17
4m0w	-29.53	393	-45.50
4ln0	-46.62	457	-63.73
4k5b	-52.46	601	-72.15
3wo3	-40.87	2624	-96.73
4m6b	-46.51	418	-62.92
4x7e	-46.55	847	-70.63
4mp0	-46.01	644	-66.46
2mur	-28.73	122	-39.85
4c2a	-45.74	468	-63.05
4kfz	-40.11	548	-58.85
4cj0	-40.00	594	-59.56
4c2b	-45.92	1845	-87.85
4l0p	-45.92	314	-60.47
2mlz	-27.70	539	-46.28
4c7n	-51.37	98	-62.06
4q5u	-68.49	169	-80.45
2mly	-32.53	582	-51.88
4mne	-42.05	2179	-89.95
2mlx	-30.81	523	-49.10
4niq	-30.26	203	-42.83
4u30	-39.16	1112	-67.98
4u32	-36.65	278	-50.56
4nm3	-24.10	376	-39.76
4nu1	-24.10	375	-39.75
4zgm	-55.49	128	-66.72
4ywc	-37.73	402	-53.86
5agw	-47.33	306	-61.74
4zii	-42.70	176	-54.79
4rws	-48.65	508	-66.67
5bnq	-55.97	322	-70.67
4yh7	-38.95	909	-64.14
4wen	-39.95	374	-55.58
4zkc	-55.12	277	-69.01
4qlp	-55.01	374	-70.64
4rwt	-37.89	1186	-68.04
4zk9	-54.91	277	-68.80
4x33	-37.68	384	-53.49
4zi2	-36.40	615	-56.34
5abv	-52.99	947	-78.86
5dfw	-53.09	312	-67.61
5d3i	-52.64	739	-74.79
4yoc	-35.51	1411	-69.68
4zgy	-35.13	508	-53.15
2mzd	-34.57	115	-45.57
2n2h	-34.43	152	-46.09
5cff	-34.08	618	-54.07
4xxb	-33.27	193	-45.66
4xl5	-50.54	471	-67.90
4zlt	-50.54	879	-75.20
4y5o	-33.41	181	-45.59
2mv7	-50.27	94	-60.89
4yc7	-32.67	470	-50.01
3wqb	-49.91	696	-71.29
4d0g	-32.79	213	-45.54
4rey	-39.76	218	-52.60
4x7s	-45.66	440	-62.47
4s0s	-45.34	726	-67.26
5brm	-39.52	1054	-67.31
5bn5	-28.30	965	-54.49
4ui1	-39.42	353	-54.67
4z80	-45.21	995	-71.94
4pw9	-27.79	446	-44.70
5d1l	-39.10	257	-52.64
2rvb	-39.06	156	-50.79
4uyq	-61.95	217	-74.77
4wwi	-44.62	755	-67.06
2mro	-21.83	120	-32.92
4zqu	-44.50	298	-58.77
4yeb	-44.35	588	-63.80
5d1k	-38.50	256	-52.02
4ypi	-44.02	1500	-79.78
2n01	-34.25	129	-45.50
4zrk	-34.25	1258	-65.68
5dob	-34.25	402	-50.38
4yvq	-32.49	203	-45.06
4ydh	-31.93	1014	-59.00
4zgq	-31.97	374	-47.60
4zrj	-31.61	379	-47.33
4uyp	-61.07	436	-77.81
5cmn	-38.00	2272	-87.56
4rs1	-43.50	372	-59.09
4zv4	-43.60	1105	-72.30
5cyk	-37.69	804	-61.01
4rjf	-37.68	816	-61.21
4xlw	-37.57	1476	-72.90
5ajk	-31.84	978	-58.27
4pgj	-43.29	483	-60.87
4xhu	-43.29	846	-67.36
4pvz	-43.17	898	-68.17
4yyp	-37.40	119	-48.47
4yiq	-32.53	429	-49.14
5e6p	-32.53	579	-51.82
5aam	-48.06	646	-68.55
4xl1	-37.20	676	-58.23
4cvw	-60.06	1948	-103.83
5a6w	-42.86	227	-55.86
4wnd	-42.71	355	-58.00
5ajj	-31.35	167	-43.28
4tq1	-19.73	290	-33.86
4y61	-36.81	626	-56.94
4xkl	-25.16	217	-37.98
5aoq	-47.87	640	-68.25
4w4o	-47.81	683	-68.96
4xvp	-47.81	1155	-77.40
5aaw	-47.74	1941	-91.39
4xwj	-47.67	236	-60.83
5e3e	-42.17	622	-62.23
2mws	-24.81	154	-36.50
4pj2	-58.95	488	-76.62
4yl8	-30.07	327	-44.86
4d2g	-29.99	814	-53.48
4weu	-29.93	710	-51.56
5bw7	-41.56	582	-60.91
4uem	-46.77	379	-62.49
4wem	-29.49	369	-45.03
4uf1	-29.43	157	-41.18
4tq0	-29.46	852	-53.63
4uwx	-29.46	495	-47.25
2n1d	-41.22	226	-54.20
5d1m	-41.14	256	-54.66
4xoi	-29.32	772	-52.06
4x4m	-45.98	1377	-79.54
4yn0	-40.36	370	-55.92
4ui0	-40.27	261	-53.88
4yiz	-46.21	1289	-78.20
5cxb	-45.87	817	-69.42
5e7f	-45.90	764	-68.50
4yj4	-45.69	164	-57.56
5c3f	-34.80	170	-46.78
5gpg	-50.71	202	-63.26
5j57	-61.07	388	-76.95
5hvf	-60.06	490	-77.76
5hgg	-58.60	747	-80.90
5eg3	-39.21	414	-55.55
5hpy	-39.30	738	-61.44
5jsb	-38.95	1602	-76.53
5dcq	-38.50	1069	-66.55
5lxm	-38.50	297	-52.75
5eoa	-39.95	229	-52.98
5j7c	-55.25	452	-72.27
5ibw	-54.81	192	-67.18
5cw7	-71.65	1203	-102.10
5ifs	-55.36	1242	-86.51
5eo9	-36.71	312	-51.23
5li1	-36.12	351	-51.34
5ays	-53.05	678	-74.11
5cx3	-35.77	553	-54.60
5sv3	-52.53	585	-71.93
5hvg	-52.51	1042	-80.08
5lxq	-35.35	602	-55.05
5ep6	-35.06	163	-46.91
5boz	-52.25	2289	-102.12
5ctr	-34.56	1031	-61.93
5jsn	-34.80	528	-53.18
4xkh	-34.40	564	-53.42
5k8q	-51.63	169	-63.59
5kho	-34.51	541	-53.12
5c4v	-34.01	856	-58.26
5szk	-34.01	313	-48.55
5chv	-33.26	910	-58.47
5jg6	-33.08	279	-47.01
5kov	-49.82	3263	-117.10
5b78	-32.68	140	-44.12
4zrp	-49.91	956	-75.94
5fvk	-32.79	204	-45.38
2n8j	-45.49	170	-57.47
5b77	-28.35	140	-39.79
5czf	-57.08	270	-70.85
5et1	-39.79	708	-61.39
5b75	-28.54	143	-40.04
5dju	-45.34	400	-61.43
5ft8	-39.56	4281	-125.04
5g1x	-28.07	292	-42.23
5inb	-39.44	326	-54.21
5ius	-56.48	657	-77.17
4z9v	-28.09	418	-44.50
4rt6	-44.97	977	-71.38
5ij9	-27.81	856	-52.06
5eb1	-39.12	543	-57.77
5fr2	-39.10	364	-54.55
5hk5	-39.02	925	-64.50
5e95	-44.54	260	-58.13
5j8h	-38.90	175	-50.97
5jlv	-44.66	1038	-72.16
5djt	-44.35	203	-56.92
5j28	-38.32	652	-58.92
5ejc	-38.27	655	-58.92
5lz3	-26.95	158	-38.72
4z9k	-49.41	374	-65.04
5tar	-32.18	332	-47.06
5d50	-31.88	1670	-70.68
5glh	-60.98	473	-78.38
5f5s	-43.71	230	-56.76
5szi	-37.65	314	-52.20
5k22	-43.39	305	-57.78
5ee5	-26.17	365	-41.64
5d28	-43.20	688	-64.44
5l8j	-32.53	358	-47.87
5f3x	-48.56	530	-66.98
5j56	-48.49	383	-64.28
5fr1	-31.29	349	-46.47
5eof	-30.94	232	-44.03
2n73	-37.07	149	-48.67
5hps	-37.05	447	-53.98
5m72	-42.70	171	-54.70
5dc4	-42.56	192	-54.93
5kve	-42.56	331	-57.42
5imt	-36.73	537	-55.27
5elu	-36.43	166	-48.34
5kwy	-36.34	709	-57.96
5ip4	-36.22	383	-52.01
5f4e	-41.77	442	-58.61
5fzt	-24.65	329	-39.47
4udm	-47.93	180	-60.09
4xxw	-30.20	866	-54.62
5dmj	-47.24	844	-71.27
5b76	-29.89	144	-41.40
5hlz	-47.38	1154	-76.95
5jem	-29.80	977	-56.21
5eql	-40.91	158	-52.68
5fv2	-63.61	637	-83.94
5jze	-29.26	469	-46.59
5ij0	-29.12	856	-53.37
5ixd	-40.82	441	-57.65
5b64	-40.84	296	-55.07
5j4a	-40.77	440	-57.58
5ioh	-34.87	650	-55.43
5imy	-34.87	1102	-63.51
5szj	-17.71	320	-32.37
5d3f	-29.08	461	-46.26
5jyl	-46.01	645	-66.48
5fw5	-40.51	294	-54.71
5jmc	-40.33	2039	-85.73
5lz6	-29.09	157	-40.84
2nbv	-28.72	188	-41.02
5lrw	-28.72	706	-50.28
5hpk	-45.74	450	-62.73
5jke	-40.19	870	-64.69
5jtl	-35.96	1091	-64.41
5jto	-28.30	780	-51.19
5jtm	-27.53	720	-49.34
5jtr	-31.97	780	-54.86
5jtp	-25.10	708	-46.70
5jtq	-30.81	704	-52.34
5jtn	-29.09	730	-51.08
5c67	-57.37	555	-76.23
5jhw	-56.07	784	-79.03
5gy2	-57.03	1221	-87.80
5v62	-45.11	363	-60.54
5t0f	-43.02	199	-55.52
5nwm	-42.23	164	-54.10
5jw9	-40.33	148	-51.92
5gjk	-39.50	162	-51.34
5m2j	-56.43	254	-69.91
5u4m	-53.70	384	-69.51
5nvl	-54.35	455	-71.43
5omb	-36.34	440	-53.15
6atk	-36.34	2898	-97.10
5kxh	-36.01	388	-51.89
5nvk	-53.64	955	-79.66
5vx3	-53.64	657	-74.33
5xeq	-53.64	817	-77.19
5lp5	-36.52	1690	-75.68
5m2i	-52.90	1612	-90.66
5wy2	-35.77	329	-50.59
5o2u	-52.29	377	-67.97
5wrv	-35.03	177	-47.13
5wb7	-34.93	2186	-82.96
5ky5	-34.83	392	-50.78
5wgg	-35.13	451	-52.13
5o05	-51.89	847	-75.97
5uk5	-34.77	493	-52.52
5tvq	-34.56	328	-49.36
5npo	-34.37	486	-52.00
5tgh	-34.37	652	-54.97
5mad	-51.13	1544	-87.68
5lgk	-33.79	1432	-68.33
5vwy	-33.60	177	-45.70
5mv8	-33.41	599	-53.06
5sxp	-33.10	282	-47.08
5m2m	-50.36	1661	-89.00
5xbf	-32.93	586	-52.35
5iia	-49.90	922	-75.33
5tp6	-49.78	177	-61.88
5omm	-45.56	711	-67.21
5nt7	-28.39	490	-46.09
5uzu	-45.66	645	-66.13
5vt9	-45.66	331	-60.52
5ky4	-28.54	390	-44.45
5lhn	-45.38	373	-60.99
5mjy	-28.24	1477	-63.59
5vkl	-39.65	221	-52.54
5nus	-45.43	285	-59.47
5un7	-39.50	363	-54.93
5h7y	-39.40	299	-53.69
5vwx	-44.67	340	-59.69
5nvm	-44.83	407	-61.05
5hyc	-27.50	277	-41.39
5v5h	-38.82	241	-52.07
5u4k	-27.53	120	-38.62
5f5o	-38.76	1028	-66.08
6ba6	-21.63	253	-35.09
5o2t	-38.68	306	-53.09
5nqf	-38.65	333	-53.54
5tzq	-44.50	306	-58.91
6amb	-27.11	249	-40.50
5tl7	-15.57	781	-38.47
5mfc	-44.20	1044	-71.81
5un5	-44.20	417	-60.60
5hu3	-34.25	281	-48.21
5mv9	-34.25	600	-53.92
5me5	-32.35	189	-44.67
5gwp	-49.53	920	-74.92
5x4l	-32.14	486	-49.77
5swk	-31.91	370	-47.47
5vx2	-49.10	347	-64.24
5mn2	-31.88	518	-50.08
5m36	-31.74	464	-48.98
5h07	-31.68	367	-47.18
5wb8	-31.69	1073	-59.82
5ml9	-38.03	275	-51.89
5v5v	-43.82	4266	-129.04
5vx0	-26.70	377	-42.38
5mtn	-43.54	182	-55.73
5toj	-43.60	1823	-85.14
5odw	-54.91	1904	-97.89
5u4y	-43.39	527	-61.75
5ua4	-43.29	167	-55.22
5w8t	-26.07	792	-49.17
5u52	-43.20	484	-60.79
5y4r	-43.06	782	-65.98
5mak	-60.15	1025	-87.42
5ma5	-60.15	1039	-87.67
5mk0	-31.44	753	-53.84
5w3x	-31.23	817	-54.78
5imm	-48.26	245	-61.58
5ohp	-31.14	465	-48.39
5l21	-48.13	544	-66.80
5v52	-31.00	459	-48.15
5x0w	-31.00	852	-55.17
5my6	-47.94	671	-68.88
5o2s	-48.00	1283	-79.88
5ma6	-54.33	385	-70.15
5gwo	-42.94	945	-68.78
5tzp	-42.94	160	-54.74
5mtj	-36.93	205	-49.54
5oc7	-42.70	404	-58.86
6azp	-42.55	633	-62.81
5v69	-42.49	394	-58.47
5wos	-36.83	159	-48.61
5ma3	-59.48	529	-77.88
5jds	-48.65	242	-61.92
5y1z	-30.63	874	-55.20
5xjg	-30.51	1038	-58.01
5wuj	-36.38	142	-47.86
5v5i	-36.15	471	-53.51
5gtb	-24.76	153	-36.44
5ohm	-58.95	980	-85.41
5vko	-47.93	230	-60.98
5tzn	-29.89	525	-48.22
5ky9	-29.85	384	-45.66
5ufe	-41.66	220	-54.53
5nqg	-41.67	415	-58.03
5ma4	-58.70	523	-76.99
5v6a	-41.52	391	-57.45
5nvn	-41.44	400	-57.53
5tl6	-24.20	782	-47.12
5oaq	-41.30	244	-54.60
5ufq	-46.77	446	-63.68
5ky0	-29.61	387	-45.47
5o03	-41.22	887	-66.02
5vcb	-41.14	2970	-103.18
5twa	-40.98	369	-56.52
5mtm	-46.55	200	-59.07
5xsq	-46.42	1013	-73.47
5lpu	-29.15	860	-53.47
5xv8	-40.79	153	-52.47
5vxz	-69.31	956	-95.34
5o0w	-57.83	1985	-102.26
6b12	-46.18	530	-64.60
5xco	-45.95	189	-58.27
5imk	-34.65	243	-47.93
5vz4	-46.21	298	-60.48
5jw7	-28.77	323	-43.49
5jjd	-28.75	331	-43.61
5omn	-45.79	425	-62.33
5v5g	-45.92	488	-63.59
5o74	-28.54	2126	-75.49
5ovw	-51.52	2226	-100.26
5uul	-47.48	175	-59.55
5otx	-40.12	256	-53.64
5w89	-45.11	158	-56.88
5yqz	-47.90	586	-67.32
6h6y	-55.87	1587	-93.19
5g15	-38.64	353	-53.89
5yir	-54.61	409	-70.86
6mkz	-55.36	528	-73.74
6hul	-37.23	657	-57.92
5wpa	-35.73	479	-53.23
6a7v	-52.64	795	-75.79
6g04	-35.13	182	-47.32
6ejg	-51.89	640	-72.27
6ejm	-51.74	635	-72.03
6h9n	-34.80	227	-47.80
6fg8	-34.30	377	-49.98
5z78	-34.51	517	-52.69
5o90	-34.01	349	-49.19
6co2	-33.79	596	-53.39
5nqw	-50.54	668	-71.42
6dcn	-33.41	330	-48.25
6f9s	-33.05	210	-45.74
5xda	-33.08	3732	-108.75
6fv0	-32.90	384	-48.71
5nzz	-32.93	2863	-93.06
5yi8	-32.79	162	-44.63
6b05	-32.66	944	-58.48
6arq	-28.49	409	-44.74
5w9a	-22.76	611	-42.62
5oen	-45.66	336	-60.61
5xqz	-28.03	504	-45.98
6ff3	-44.90	247	-58.26
6e3j	-44.83	173	-56.86
6bxc	-45.01	1213	-75.64
5xwt	-27.63	1447	-62.44
6asr	-27.55	189	-39.87
5uv8	-39.11	737	-61.23
6bx5	-44.83	442	-61.67
5nt1	-27.36	878	-52.00
6fq0	-38.79	668	-59.67
6aaf	-38.77	134	-50.11
5uwc	-44.23	365	-59.70
5nl1	-38.58	991	-65.24
6e2p	-26.99	938	-52.70
5yc5	-38.50	595	-58.08
5xln	-31.99	191	-44.35
6isc	-32.08	337	-47.05
5vu0	-49.10	596	-68.70
6i3f	-43.91	758	-66.40
6fc3	-43.94	219	-56.80
6b8n	-38.11	878	-62.75
6bx4	-38.11	438	-54.88
5mr4	-38.00	766	-60.64
